epoch,train_nt_xent,val_nt_xent,provenance
55,0.5667540141442715,0.6050110325318248,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
56,0.5230005091937766,0.6221594455445545,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
57,0.5109222970297029,0.585832961810467,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
58,0.5272902065063652,0.5577252842998586,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
59,0.5145603394625178,0.6309032079207921,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
60,0.524134483734088,0.6069955190947667,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
61,0.515173352192362,0.6104881244695899,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
62,0.5415193663366338,0.5743379688826025,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
63,0.49854951060820385,0.5687431739745403,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
64,0.5019992984441302,0.5766587157001415,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
65,0.45109280905233384,0.5384323055162661,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
66,0.4637732616690242,0.5431123281471006,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
67,0.4784656859971712,0.5456407128712872,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
68,0.48638358132956183,0.5559888429985858,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
69,0.4707902461103255,0.5616019801980199,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
70,0.4726024780763791,0.5628839151343707,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
71,0.4808516209335221,0.5508228231966055,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
72,0.47361563790664785,0.5662975841584159,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
73,0.48784933521923635,0.5599796322489392,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
74,0.4688231683168318,0.5333312022630836,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
75,0.44979700141442724,0.5617848486562944,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
76,0.4300266364922207,0.528683530410184,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
77,0.45497294483734096,0.4882147439886846,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
78,0.44943523620933545,0.511755530410184,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
79,0.41616371145685993,0.5124179236209336,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
80,0.42198392079207936,0.49113480056577097,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
81,0.4278041301272988,0.4908197906647809,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
82,0.436319592644979,0.4987150664780766,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
83,0.41893637340876966,0.5147151456859973,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
84,0.42023551909476664,0.48913121357850065,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
85,0.416346070721358,0.47636643847241866,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
86,0.3961510042432814,0.4679321753889676,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
87,0.41662603677510623,0.4665554398868459,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
88,0.3934076039603962,0.5046858161244696,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
89,0.41814555021216426,0.46747172842998586,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
90,0.3964342630834514,0.47796512588401696,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
91,0.39860690240452623,0.4593214257425742,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
92,0.3858348175388966,0.45857670155586994,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
93,0.359155473833098,0.45472165205091963,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
94,0.3894994738330977,0.499476243281471,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
95,0.3788033493635079,0.4585620820367753,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
96,0.3864638415841586,0.47356794342291386,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
97,0.3716969504950496,0.43921399717114573,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
98,0.345481719943423,0.45751867609618113,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
99,0.3438407920792079,0.46477490240452624,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
100,0.37445020650636485,0.45069052333804827,digitized_from_notebook_exported_svg:ssl_train_validation_loss.svg
